City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,srednekolymsk,67.45,153.6833,-44.32,99,69,2.12,RU,1673929770
231,tingo maria,-9.2895,-76.0088,20.09,97,75,0.8,PE,1673929771
232,santiago del estero,-27.7951,-64.2615,27.77,28,74,5.12,AR,1673929608
233,chaozhou,23.6651,116.6379,14.92,53,12,2.03,CN,1673929773
234,grootfontein,-19.5667,18.1167,17.76,94,99,0.51,NA,1673929776
235,ust-kuyga,70.0167,135.6,-38.28,100,99,2.35,RU,1673929777
236,talaya,61.3833,152.75,-34.7,99,100,1.14,RU,1673929778
237,tiarei,-17.5333,-149.3333,28.01,68,53,2.53,PF,1673929780
238,klaksvik,62.2266,-6.589,-1.49,66,100,10.25,FO,1673929781
239,kununurra,-15.7667,128.7333,31.99,62,75,3.6,AU,1673929782
240,tangping,22.0265,111.9323,12.84,65,100,2.8,CN,1673929783
241,ewa beach,21.3156,-158.0072,26.97,65,0,4.12,US,1673929786
242,varena,54.2167,24.5667,0.97,97,100,5.4,LT,1673929788
243,flin flon,54.7682,-101.865,-20.04,100,83,1.18,CA,1673929790
244,mount isa,-20.7333,139.5,31.87,48,100,4.12,AU,1673929792
245,deputatskiy,69.3,139.9,-36.53,100,100,0.18,RU,1673929793
246,durazno,-33.4131,-56.5006,22.92,54,0,6.42,UY,1673929794
247,padre paraiso,-17.0742,-41.4844,17.41,99,81,1.14,BR,1673929796
248,mogadishu,2.0371,45.3438,23.93,88,0,6.17,SO,1673929592
249,abramovka,51.1886,41.0202,-6.87,97,74,3.11,RU,1673929799
250,makakilo city,21.3469,-158.0858,26.18,65,0,4.12,US,1673929800
251,fairmont,39.4851,-80.1426,4.51,81,100,1.9,US,1673929570
252,airai,-8.9266,125.4092,22.48,68,70,1.87,TL,1673929804
253,straseni,47.1414,28.6103,7.96,96,99,8.65,MD,1673929818
254,touros,-5.1989,-35.4608,25.49,80,78,4.08,BR,1673929530
255,miri,4.4148,114.0089,30.08,74,40,3.09,MY,1673929821
256,georgetown,5.4112,100.3354,31.96,51,20,5.66,MY,1673929814
257,nova vicosa,-17.8919,-39.3719,23.72,89,9,2.99,BR,1673929827
258,haines junction,60.7522,-137.5108,-10.94,98,99,0.81,CA,1673929830
259,presidencia roque saenz pena,-26.7852,-60.4388,22.83,54,1,2.87,AR,1673929833
260,lakes entrance,-37.8811,147.981,28.98,66,14,1.95,AU,1673929834
261,tuatapere,-46.1333,167.6833,16.55,71,57,2.94,NZ,1673929835
262,sibolga,1.7427,98.7792,28.45,69,99,2.7,ID,1673929836
263,snasa,64.2457,12.3778,-5.33,91,98,2.72,NO,1673929838
264,yelizovo,53.1873,158.3805,-12.92,39,40,3.13,RU,1673929811
265,upernavik,72.7868,-56.1549,-19.84,96,100,2.56,GL,1673929840
266,corinto,37.9407,22.9573,16.05,76,46,3.25,GR,1673929841
267,sungaipenuh,-2.0833,101.3833,23.73,73,94,1.0,ID,1673929844
268,port said,31.2565,32.2841,10.99,93,40,2.06,EG,1673929845
269,bambous virieux,-20.3428,57.7575,27.9,69,75,7.72,MU,1673929847
270,nouadhibou,20.931,-17.0347,19.99,40,96,5.14,MR,1673929585
271,geraldton,-28.7667,114.6,28.23,39,0,9.77,AU,1673929555
272,kansanshi,-12.0951,26.4273,16.64,99,100,1.01,ZM,1673929850
273,khandbari,27.3747,87.2039,15.58,49,44,2.11,NP,1673929851
274,isla mujeres,21.2311,-86.731,22.03,67,37,5.59,MX,1673929853
275,nanortalik,60.1432,-45.2371,-11.81,66,31,5.59,GL,1673929854
276,charters towers,-20.1,146.2667,25.94,75,100,6.28,AU,1673929855
277,tiksi,71.6872,128.8694,-30.63,100,100,2.96,RU,1673929856
278,volkach,49.8667,10.2333,3.34,82,91,6.24,DE,1673929858
279,blenheim,-41.516,173.9528,22.51,69,52,2.24,NZ,1673929859
280,ulaangom,49.9811,92.0667,-22.57,91,99,1.48,MN,1673929860
281,sohag,26.557,31.6948,7.16,68,0,1.57,EG,1673929861
282,labuhan,-6.8844,112.2051,29.72,68,100,3.29,ID,1673929863
283,narsaq,60.9167,-46.05,-14.88,64,51,5.05,GL,1673929865
